source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms1 scan range]	factor value[developmental stage]
Bilberry_S4_bio3	Vaccinium myrtillus	fruit	not available	3	not available	purple ripening fruit S4	wild	natural forest, Oulu, Finland	211202_44_Bil_PurpleS4_3Bio_1	proteomic profiling by mass spectrometry	1	211202_44_Bil_PurpleS4_3Bio_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	purple ripening fruit S4
Bilberry_S4_bio3	Vaccinium myrtillus	fruit	not available	3	not available	purple ripening fruit S4	wild	natural forest, Oulu, Finland	211202_45_Bil_PurpleS4_3Bio_2	proteomic profiling by mass spectrometry	2	211202_45_Bil_PurpleS4_3Bio_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	purple ripening fruit S4
Bilberry_S4_bio3	Vaccinium myrtillus	fruit	not available	3	not available	purple ripening fruit S4	wild	natural forest, Oulu, Finland	211202_46_Bil_PurpleS4_3Bio_3	proteomic profiling by mass spectrometry	3	211202_46_Bil_PurpleS4_3Bio_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	purple ripening fruit S4
Bilberry_S5_bio1	Vaccinium myrtillus	fruit	not available	1	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_51_Bil_BlueS5_1Bio_1	proteomic profiling by mass spectrometry	1	211202_51_Bil_BlueS5_1Bio_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio1	Vaccinium myrtillus	fruit	not available	1	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_52_Bil_BlueS5_1Bio_2	proteomic profiling by mass spectrometry	2	211202_52_Bil_BlueS5_1Bio_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio1	Vaccinium myrtillus	fruit	not available	1	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_53_Bil_BlueS5_1Bio_3	proteomic profiling by mass spectrometry	3	211202_53_Bil_BlueS5_1Bio_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio2	Vaccinium myrtillus	fruit	not available	2	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_55_Bil_BlueS5_2Bio_1	proteomic profiling by mass spectrometry	1	211202_55_Bil_BlueS5_2Bio_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio2	Vaccinium myrtillus	fruit	not available	2	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_56_Bil_BlueS5_2Bio_2	proteomic profiling by mass spectrometry	2	211202_56_Bil_BlueS5_2Bio_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio2	Vaccinium myrtillus	fruit	not available	2	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_57_Bil_BlueS5_2Bio_3	proteomic profiling by mass spectrometry	3	211202_57_Bil_BlueS5_2Bio_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio3	Vaccinium myrtillus	fruit	not available	3	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_59_Bil_BlueS5_3Bio_1	proteomic profiling by mass spectrometry	1	211202_59_Bil_BlueS5_3Bio_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio3	Vaccinium myrtillus	fruit	not available	3	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_60_Bil_BlueS5_3Bio_2	proteomic profiling by mass spectrometry	2	211202_60_Bil_BlueS5_3Bio_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
Bilberry_S5_bio3	Vaccinium myrtillus	fruit	not available	3	not available	ripe blue fruit S5	wild	natural forest, Oulu, Finland	211202_61_Bil_BlueS5_3Bio_3	proteomic profiling by mass spectrometry	3	211202_61_Bil_BlueS5_3Bio_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	30% NCE	10 ppm	0.6 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=Q;MT=Variable	375m/z-1500m/z	ripe blue fruit S5
